GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_386: Average age,v_CA21_452: Average household size,v_CA21_560: Median total income in 2020 among recipients ($),v_CA21_4311: Median value of dwellings ($) (60)
35061132,DA,35061132,21.5476,476,182,179,42.5,2.7,50400,576000
35061133,DA,35061133,103.0652,874,348,330,44.8,2.7,48800,500000
35061134,DA,35061134,107.7801,695,260,256,41.7,2.7,55200,552000
35061135,DA,35061135,46.6075,697,255,252,40.9,2.8,52000,620000
35061136,DA,35061136,0.2539,379,147,146,45.6,2.6,52400,500000
35061137,DA,35061137,8.4007,454,162,161,39.9,2.8,54400,500000
35061138,DA,35061138,4.2844,355,133,132,44.7,2.7,59200,528000
35061140,DA,35061140,51.9041,1312,501,494,43.6,2.7,58000,800000
35061141,DA,35061141,39.8471,807,291,287,42.4,2.8,55600,700000
35061142,DA,35061142,16.6063,326,130,129,44.2,2.5,52000,552000
35061143,DA,35061143,4.1854,982,364,348,35.3,2.8,62800,725000
35061144,DA,35061144,0.4975,410,173,169,43.2,2.4,51600,600000
35061145,DA,35061145,0.3103,380,157,157,44.1,2.4,51600,532000
35061146,DA,35061146,0.3338,440,185,177,41.0,2.5,49200,500000
35061147,DA,35061147,3.1302,1328,574,565,47.0,2.3,54400,750000
35061148,DA,35061148,2.3716,1401,450,445,36.9,3.2,68000,755000
35061149,DA,35061149,1.1132,792,284,283,40.5,2.8,56000,572000
35061150,DA,35061150,0.2246,732,251,249,39.2,2.9,60000,600000
35061151,DA,35061151,0.1033,524,180,178,40.5,2.9,56800,650000
35061152,DA,35061152,0.0533,280,96,96,38.2,2.9,59200,624000
35061153,DA,35061153,0.0907,350,130,129,44.1,2.7,61600,650000
35061154,DA,35061154,0.1636,488,182,179,36.9,2.7,50400,448000
35061155,DA,35061155,0.0717,459,157,157,39.3,2.9,53600,524000
35061156,DA,35061156,0.0756,367,139,138,43.5,2.7,60800,600000
35061157,DA,35061157,0.0859,408,136,135,41.7,3,57200,650000
35061158,DA,35061158,0.087,522,196,195,35.6,2.7,54400,452000
35061159,DA,35061159,0.284,733,355,348,40.7,2.1,45600,340000
35061160,DA,35061160,16.2377,775,338,307,41.0,2.5,52000,452000
35061161,DA,35061161,26.1472,646,258,250,42.6,2.6,52400,452000
35061171,DA,35061171,0.0845,388,124,121,40.0,3.2,46800,800000
35061174,DA,35061174,0.1209,382,205,204,43.6,1.9,40400,400000
35061175,DA,35061175,0.115,513,241,237,40.8,2.2,44400,600000
35061178,DA,35061178,0.2345,611,229,227,43.7,2.7,65500,900000
35061179,DA,35061179,0.2131,609,249,243,41.7,2.5,58000,800000
35061180,DA,35061180,0.1172,527,300,283,47.1,1.9,45600,324000
35061181,DA,35061181,0.1212,521,229,224,42.6,2.3,53600,750000
35061182,DA,35061182,0.0897,576,338,332,65.0,1.3,36800,
35061183,DA,35061183,0.1745,520,195,192,43.2,2.7,78500,800000
35061184,DA,35061184,0.1518,493,220,215,41.9,2.3,50800,800000
35061185,DA,35061185,0.1281,540,233,229,39.6,2.4,58000,950000
35061186,DA,35061186,0.1478,495,159,155,38.5,3.2,91000,1100000
35061188,DA,35061188,0.1789,440,244,235,45.2,1.9,42800,950000
35061189,DA,35061189,0.2421,788,521,502,52.2,1.6,44800,400000
35061190,DA,35061190,0.0871,1649,1184,1122,58.3,1.5,41600,348000
35061191,DA,35061191,0.1031,565,352,334,59.3,1.6,49600,348000
35061192,DA,35061192,0.4872,791,389,380,45.1,2.1,38400,800000
35061193,DA,35061193,0.2948,650,302,289,43.3,2.3,54800,576000
35061194,DA,35061194,0.1782,483,194,190,40.2,2.5,60800,600000
35061195,DA,35061195,0.1026,466,210,205,42.1,2.3,51200,750000
35061196,DA,35061196,0.0562,506,348,333,41.6,1.5,35600,
35061197,DA,35061197,0.0802,830,404,392,36.8,2.1,34800,528000
35061198,DA,35061198,0.2053,430,185,180,44.3,2.4,56000,650000
35061201,DA,35061201,0.2226,1046,573,551,50.0,1.9,42400,400000
35061202,DA,35061202,0.0832,262,102,100,45.2,2.6,48400,600000
35061203,DA,35061203,0.0906,572,210,207,45.7,2.8,39600,464000
35061204,DA,35061204,0.0629,1218,360,356,26.6,3.4,25400,
35061208,DA,35061208,0.4202,559,215,214,45.4,2.6,64500,700000
35061209,DA,35061209,0.1368,429,161,161,45.3,2.7,69500,710000
35061210,DA,35061210,0.216,424,167,163,50.1,2.6,71000,750000
35061213,DA,35061213,0.1286,546,206,204,46.5,2.7,62000,600000
35061214,DA,35061214,0.2451,568,235,232,44.6,2.4,40800,650000
35061215,DA,35061215,0.1276,281,109,107,46.0,2.6,63200,675000
35061222,DA,35061222,0.4437,770,616,452,34.4,1.7,38800,500000
35061225,DA,35061225,0.0588,565,406,276,28.0,2,23200,650000
35061227,DA,35061227,0.2319,381,151,150,44.8,2.5,52800,424000
35061228,DA,35061228,0.1329,452,179,178,45.4,2.5,53600,645000
35061229,DA,35061229,0.3712,567,206,205,44.5,2.8,71000,700000
35061230,DA,35061230,0.1377,411,161,158,48.3,2.6,62800,650000
35061231,DA,35061231,0.1189,1003,419,414,38.4,2.4,47200,348000
35061232,DA,35061232,0.2133,517,210,207,44.8,2.3,44400,348000
35061233,DA,35061233,0.08,350,139,136,45.3,2.6,44800,492000
35061234,DA,35061234,0.122,390,154,151,41.4,2.6,49200,640000
35061235,DA,35061235,0.2427,488,210,201,33.5,2.4,39600,400000
35061236,DA,35061236,0.1855,1141,400,394,45.1,2.4,38400,548000
35061237,DA,35061237,0.0802,239,97,96,49.2,2.5,,700000
35061238,DA,35061238,0.1359,423,162,160,46.3,2.6,75000,700000
35061239,DA,35061239,0.1661,547,198,198,42.6,2.8,66000,650000
35061240,DA,35061240,0.369,847,337,330,46.3,2.6,65000,675000
35061241,DA,35061241,0.0652,236,87,87,48.0,2.7,,700000
35061242,DA,35061242,0.1499,392,158,150,44.1,2.6,55600,552000
35061243,DA,35061243,0.1238,622,265,255,41.3,2.4,43600,400000
35061247,DA,35061247,0.2993,974,492,472,37.2,2.1,49600,360000
35061248,DA,35061248,0.8939,1009,362,347,48.9,2.7,55600,700000
35061249,DA,35061249,0.7635,1120,434,395,31.6,2.8,31400,348000
35061250,DA,35061250,0.0686,701,333,298,31.9,2.4,30600,
35061251,DA,35061251,0.1679,687,287,280,41.8,2.5,43200,548000
35061252,DA,35061252,0.3862,1703,1090,1031,35.4,1.7,38400,1000000
35061253,DA,35061253,0.069,1074,657,637,56.1,1.7,40400,264000
35061254,DA,35061254,0.0835,1022,392,382,45.8,2.2,40400,332000
35061256,DA,35061256,0.185,773,518,497,43.5,1.6,40000,
35061257,DA,35061257,0.3812,1573,1020,955,60.0,1.5,52800,600000
35061261,DA,35061261,0.1041,958,608,578,50.9,1.7,60400,700000
35061263,DA,35061263,0.1208,923,462,421,38.3,2.2,38400,500000
35061264,DA,35061264,0.2984,1173,431,419,39.8,2.8,42800,472000
35061266,DA,35061266,0.3626,1312,515,510,44.0,2.6,59200,572000
35061267,DA,35061267,0.1191,489,214,208,37.0,2.4,43200,300000
35061268,DA,35061268,0.6551,1331,513,506,46.3,2.4,52800,500000
35061269,DA,35061269,0.2012,1119,485,465,42.5,2.4,49200,500000
35061270,DA,35061270,0.2424,1071,436,424,40.3,2.5,45600,448000
35061271,DA,35061271,0.3265,1172,534,523,42.3,2.2,52800,500000
35061272,DA,35061272,0.3342,1095,413,409,43.6,2.7,54400,700000
35061273,DA,35061273,0.4598,1150,460,453,45.2,2.5,56800,600000
35061279,DA,35061279,0.2488,1592,921,895,45.9,1.7,41200,376000
35061280,DA,35061280,0.313,972,474,446,43.0,1.9,32800,700000
35061281,DA,35061281,0.0787,1215,712,694,50.2,1.8,37600,274000
35061282,DA,35061282,0.2778,1852,775,746,34.1,2.5,36000,332000
35061284,DA,35061284,0.2439,1223,638,604,34.8,2,31400,1000000
35061285,DA,35061285,0.1064,921,141,134,60.4,2.8,54800,900000
35061286,DA,35061286,0.3026,1124,433,430,44.4,2.6,55200,552000
35061287,DA,35061287,0.4194,1098,492,478,41.2,2.3,41600,600000
35061288,DA,35061288,0.2085,506,192,187,47.0,2.7,67500,800000
35061289,DA,35061289,0.1239,578,228,217,33.2,2.6,31800,552000
35061290,DA,35061290,0.1439,480,176,175,45.8,2.7,57200,600000
35061291,DA,35061291,0.2104,502,220,211,43.4,2.4,50400,600000
35061292,DA,35061292,0.1411,634,261,253,39.4,2.5,55600,650000
35061293,DA,35061293,1.4846,652,300,289,42.1,2.1,56800,528000
35061294,DA,35061294,0.1752,595,250,245,45.4,2.4,50000,600000
35061295,DA,35061295,0.1437,410,171,166,44.7,2.5,46800,600000
35061296,DA,35061296,0.2476,757,261,260,39.8,2.9,58400,600000
35061297,DA,35061297,0.0654,484,173,169,37.3,2.9,51600,500000
35061298,DA,35061298,1.4094,810,324,320,40.8,2.5,50400,400000
35061299,DA,35061299,0.6386,1389,771,641,52.5,1.9,57200,492000
35061300,DA,35061300,0.0403,416,242,214,32.3,1.9,34400,
35061301,DA,35061301,0.0268,684,330,298,30.2,2.3,31600,
35061302,DA,35061302,0.0336,247,102,99,37.2,2.5,,560000
35061303,DA,35061303,0.1182,808,335,323,36.0,2.5,40000,600000
35061304,DA,35061304,0.5041,864,341,337,45.3,2.6,65500,755000
35061305,DA,35061305,0.0959,343,109,109,42.5,3.1,60800,800000
35061306,DA,35061306,0.0998,298,94,94,43.4,3.2,66000,820000
35061307,DA,35061307,0.1601,473,234,224,41.0,2.1,61600,548000
35061308,DA,35061308,0.908,1654,934,892,41.9,1.9,51200,400000
35061309,DA,35061309,0.1136,414,139,139,41.3,3,57200,645000
35061310,DA,35061310,0.233,703,247,246,41.4,2.9,59200,600000
35061311,DA,35061311,0.2983,1217,380,380,41.8,2.9,60800,600000
35061312,DA,35061312,0.156,573,211,209,36.7,2.7,55600,520000
35061313,DA,35061313,0.0634,393,146,146,38.3,2.7,60400,500000
